0,1/25/2020,Orange,California,6059,1,0,no,no,SRID=4326; POINT(-117.76109087687983 33.70297871221166)
2348,4/23/2020,Yuba,California,6115,16,1,yes,yes,SRID=4326; POINT(-121.35127598879794 39.26901406033176)
2349,4/24/2020,Alameda,California,6001,1422,48,yes,yes,SRID=4326; POINT(-121.88876733100628 37.64695977543178)
2350,4/24/2020,Alpine,California,6003,1,0,yes,yes,SRID=4326; POINT(-119.820679847404 38.59720402225429)
2351,4/24/2020,Amador,California,6005,7,0,yes,yes,SRID=4326; POINT(-120.65110288122308 38.44639526493973)
2352,4/24/2020,Butte,California,6007,16,0,yes,yes,SRID=4326; POINT(-121.60069437618093 39.66694537197008)
2353,4/24/2020,Calaveras,California,6009,13,0,yes,yes,SRID=4326; POINT(-120.55413604956068 38.20460285077638)
2354,4/24/2020,Colusa,California,6011,3,0,yes,yes,SRID=4326; POINT(-122.2369726471668 39.17748899441087)
2355,4/24/2020,Contra Costa,California,6013,786,23,yes,yes,SRID=4326; POINT(-121.92793912067462 37.91916706936435)
2356,4/24/2020,Del Norte,California,6015,2,0,yes,yes,SRID=4326; POINT(-123.89726198525156 41.7431353515116)
2357,4/24/2020,El Dorado,California,6017,42,0,yes,yes,SRID=4326; POINT(-120.52467458278412 38.7787390108896)
2358,4/24/2020,Fresno,California,6019,443,7,yes,yes,SRID=4326; POINT(-119.6493182510263 36.75820144893008)
2359,4/24/2020,Glenn,California,6021,5,0,yes,yes,SRID=4326; POINT(-122.39201190026616 39.59820691384685)
2360,4/24/2020,Humboldt,California,6023,53,0,yes,yes,SRID=4326; POINT(-123.87564318425044 40.699302544261606)
2361,4/24/2020,Imperial,California,6025,251,8,yes,yes,SRID=4326; POINT(-115.36536275650892 33.03951696565958)
2362,4/24/2020,Inyo,California,6027,19,1,yes,yes,SRID=4326; POINT(-117.41074195586413 36.51111008013726)
2363,4/24/2020,Kern,California,6029,744,4,yes,yes,SRID=4326; POINT(-118.72992737130474 35.34286892433542)
2364,4/24/2020,Kings,California,6031,47,1,yes,yes,SRID=4326; POINT(-119.81555270801204 36.07535520877043)
2365,4/24/2020,Lake,California,6033,6,0,yes,yes,SRID=4326; POINT(-122.75320319530188 39.0996221027628)
2366,4/24/2020,Los Angeles,California,6037,18545,850,yes,yes,SRID=4326; POINT(-118.21704873301874 34.35892236643165)
2367,4/24/2020,Madera,California,6039,39,2,yes,yes,SRID=4326; POINT(-119.76268803888416 37.21798434075275)
2368,4/24/2020,Marin,California,6041,212,12,yes,yes,SRID=4326; POINT(-122.7240857653482 38.07386608280823)
2369,4/24/2020,Mendocino,California,6045,11,0,yes,yes,SRID=4326; POINT(-123.3914860282423 39.44023216901027)
2370,4/24/2020,Merced,California,6047,102,3,yes,yes,SRID=4326; POINT(-120.71766656778016 37.19189531523568)
2371,4/24/2020,Mono,California,6051,24,1,yes,yes,SRID=4326; POINT(-118.88685440927983 37.939092046487765)
2372,4/24/2020,Monterey,California,6053,169,4,yes,yes,SRID=4326; POINT(-121.23921685703726 36.2171642713656)
2373,4/24/2020,Napa,California,6055,58,2,yes,yes,SRID=4326; POINT(-122.33053135359748 38.50649013327487)
2374,4/24/2020,Nevada,California,6057,37,1,yes,yes,SRID=4326; POINT(-120.7684633765121 39.30137434539518)
2375,4/24/2020,Orange,California,6059,1845,36,yes,yes,SRID=4326; POINT(-117.76109087687983 33.70297871221166)
2376,4/24/2020,Placer,California,6061,139,8,yes,yes,SRID=4326; POINT(-120.71756048968044 39.06346827702669)
2377,4/24/2020,Plumas,California,6063,4,0,yes,yes,SRID=4326; POINT(-120.83854990605204 40.00463851482889)
2378,4/24/2020,Riverside,California,6065,3315,112,yes,yes,SRID=4326; POINT(-115.99382744012463 33.743654237895306)
2379,4/24/2020,Sacramento,California,6067,1019,41,yes,yes,SRID=4326; POINT(-121.34425496618957 38.44931827752478)
2380,4/24/2020,San Benito,California,6069,47,2,yes,yes,SRID=4326; POINT(-121.07497457762749 36.60568773898703)
2381,4/24/2020,San Bernardino,California,6071,1666,80,yes,yes,SRID=4326; POINT(-116.17841950729829 34.84138605859262)
2382,4/24/2020,San Diego,California,6073,2826,102,yes,yes,SRID=4326; POINT(-116.73530501380812 33.03414183824337)
2383,4/24/2020,San Francisco,California,6075,1343,22,yes,yes,SRID=4326; POINT(-122.4408832731622 37.75512993109261)
2384,4/24/2020,San Joaquin,California,6077,495,24,yes,yes,SRID=4326; POINT(-121.2714108518384 37.9347613818742)
2385,4/24/2020,San Luis Obispo,California,6079,163,1,yes,yes,SRID=4326; POINT(-120.40452613936814 35.38708615948106)
2386,4/24/2020,San Mateo,California,6081,989,41,yes,yes,SRID=4326; POINT(-122.32902439490182 37.422897665590426)
2387,4/24/2020,Santa Barbara,California,6083,460,6,yes,yes,SRID=4326; POINT(-120.0222848598336 34.724818361441336)
2388,4/24/2020,Santa Clara,California,6085,2018,99,yes,yes,SRID=4326; POINT(-121.695141328068 37.231794804618175)
2389,4/24/2020,Santa Cruz,California,6087,115,2,yes,yes,SRID=4326; POINT(-122.00184307320414 37.05618382107653)
2390,4/24/2020,Shasta,California,6089,30,4,yes,yes,SRID=4326; POINT(-122.04051441462217 40.76371776358584)
2391,4/24/2020,Siskiyou,California,6093,5,0,yes,yes,SRID=4326; POINT(-122.54037902620112 41.59264458363492)
2392,4/24/2020,Solano,California,6095,199,4,yes,yes,SRID=4326; POINT(-121.932865211764 38.26997789621676)
2393,4/24/2020,Sonoma,California,6097,217,2,yes,yes,SRID=4326; POINT(-122.88742273484095 38.52829211309421)
2394,4/24/2020,Stanislaus,California,6099,264,5,yes,yes,SRID=4326; POINT(-120.99770348560212 37.55914006926297)
2395,4/24/2020,Sutter,California,6101,28,2,yes,yes,SRID=4326; POINT(-121.69484659023334 39.03454902479038)
2396,4/24/2020,Tehama,California,6103,1,1,yes,yes,SRID=4326; POINT(-122.23407364887478 40.125631404996895)
2397,4/24/2020,Tulare,California,6107,472,28,yes,yes,SRID=4326; POINT(-118.80049658423822 36.220167658111336)
2398,4/24/2020,Tuolumne,California,6109,2,0,yes,yes,SRID=4326; POINT(-119.95476801271204 38.0275935431412)
2399,4/24/2020,Ventura,California,6111,476,16,yes,yes,SRID=4326; POINT(-119.0782397063646 34.4715950188429)
2400,4/24/2020,Yolo,California,6113,157,13,yes,yes,SRID=4326; POINT(-121.90158291329168 38.68660977023957)
2401,4/24/2020,Yuba,California,6115,16,1,yes,yes,SRID=4326; POINT(-121.35127598879794 39.26901406033176)
2402,4/25/2020,Alameda,California,6001,1458,52,yes,yes,SRID=4326; POINT(-121.88876733100628 37.64695977543178)
2403,4/25/2020,Alpine,California,6003,1,0,yes,yes,SRID=4326; POINT(-119.820679847404 38.59720402225429)
2404,4/25/2020,Amador,California,6005,7,0,yes,yes,SRID=4326; POINT(-120.65110288122308 38.44639526493973)
2405,4/25/2020,Butte,California,6007,16,0,yes,yes,SRID=4326; POINT(-121.60069437618093 39.66694537197008)
2406,4/25/2020,Calaveras,California,6009,13,0,yes,yes,SRID=4326; POINT(-120.55413604956068 38.20460285077638)
2407,4/25/2020,Colusa,California,6011,3,0,yes,yes,SRID=4326; POINT(-122.2369726471668 39.17748899441087)
2408,4/25/2020,Contra Costa,California,6013,805,25,yes,yes,SRID=4326; POINT(-121.92793912067462 37.91916706936435)
2409,4/25/2020,Del Norte,California,6015,2,0,yes,yes,SRID=4326; POINT(-123.89726198525156 41.7431353515116)
2410,4/25/2020,El Dorado,California,6017,42,0,yes,yes,SRID=4326; POINT(-120.52467458278412 38.7787390108896)
2411,4/25/2020,Fresno,California,6019,458,7,yes,yes,SRID=4326; POINT(-119.6493182510263 36.75820144893008)
2412,4/25/2020,Glenn,California,6021,5,0,yes,yes,SRID=4326; POINT(-122.39201190026616 39.59820691384685)
2413,4/25/2020,Humboldt,California,6023,53,0,yes,yes,SRID=4326; POINT(-123.87564318425044 40.699302544261606)
2414,4/25/2020,Imperial,California,6025,251,7,yes,yes,SRID=4326; POINT(-115.36536275650892 33.03951696565958)
2415,4/25/2020,Inyo,California,6027,19,1,yes,yes,SRID=4326; POINT(-117.41074195586413 36.51111008013726)
2416,4/25/2020,Kern,California,6029,764,4,yes,yes,SRID=4326; POINT(-118.72992737130474 35.34286892433542)
2417,4/25/2020,Kings,California,6031,52,1,yes,yes,SRID=4326; POINT(-119.81555270801204 36.07535520877043)
2418,4/25/2020,Lake,California,6033,6,0,yes,yes,SRID=4326; POINT(-122.75320319530188 39.0996221027628)
2419,4/25/2020,Los Angeles,California,6037,19107,895,yes,yes,SRID=4326; POINT(-118.21704873301874 34.35892236643165)
2420,4/25/2020,Madera,California,6039,40,2,yes,yes,SRID=4326; POINT(-119.76268803888416 37.21798434075275)
2421,4/25/2020,Marin,California,6041,223,12,yes,yes,SRID=4326; POINT(-122.7240857653482 38.07386608280823)
2422,4/25/2020,Mendocino,California,6045,11,0,yes,yes,SRID=4326; POINT(-123.3914860282423 39.44023216901027)
2423,4/25/2020,Merced,California,6047,102,3,yes,yes,SRID=4326; POINT(-120.71766656778016 37.19189531523568)
2424,4/25/2020,Mono,California,6051,24,1,yes,yes,SRID=4326; POINT(-118.88685440927983 37.939092046487765)
2425,4/25/2020,Monterey,California,6053,176,4,yes,yes,SRID=4326; POINT(-121.23921685703726 36.2171642713656)
2426,4/25/2020,Napa,California,6055,61,2,yes,yes,SRID=4326; POINT(-122.33053135359748 38.50649013327487)
2427,4/25/2020,Nevada,California,6057,37,1,yes,yes,SRID=4326; POINT(-120.7684633765121 39.30137434539518)
2428,4/25/2020,Orange,California,6059,1969,38,yes,yes,SRID=4326; POINT(-117.76109087687983 33.70297871221166)
2429,4/25/2020,Placer,California,6061,139,8,yes,yes,SRID=4326; POINT(-120.71756048968044 39.06346827702669)
2430,4/25/2020,Plumas,California,6063,4,0,yes,yes,SRID=4326; POINT(-120.83854990605204 40.00463851482889)
2431,4/25/2020,Riverside,California,6065,3409,117,yes,yes,SRID=4326; POINT(-115.99382744012463 33.743654237895306)
2432,4/25/2020,Sacramento,California,6067,1025,41,yes,yes,SRID=4326; POINT(-121.34425496618957 38.44931827752478)
2433,4/25/2020,San Benito,California,6069,47,2,yes,yes,SRID=4326; POINT(-121.07497457762749 36.60568773898703)
2434,4/25/2020,San Bernardino,California,6071,1732,82,yes,yes,SRID=4326; POINT(-116.17841950729829 34.84138605859262)
2435,4/25/2020,San Diego,California,6073,2943,111,yes,yes,SRID=4326; POINT(-116.73530501380812 33.03414183824337)
2436,4/25/2020,San Francisco,California,6075,1357,22,yes,yes,SRID=4326; POINT(-122.4408832731622 37.75512993109261)
2437,4/25/2020,San Joaquin,California,6077,507,25,yes,yes,SRID=4326; POINT(-121.2714108518384 37.9347613818742)
2438,4/25/2020,San Luis Obispo,California,6079,165,1,yes,yes,SRID=4326; POINT(-120.40452613936814 35.38708615948106)
2439,4/25/2020,San Mateo,California,6081,1019,41,yes,yes,SRID=4326; POINT(-122.32902439490182 37.422897665590426)
2440,4/25/2020,Santa Barbara,California,6083,466,6,yes,yes,SRID=4326; POINT(-120.0222848598336 34.724818361441336)
2441,4/25/2020,Santa Clara,California,6085,2040,100,yes,yes,SRID=4326; POINT(-121.695141328068 37.231794804618175)
2442,4/25/2020,Santa Cruz,California,6087,115,2,yes,yes,SRID=4326; POINT(-122.00184307320414 37.05618382107653)
2443,4/25/2020,Shasta,California,6089,30,4,yes,yes,SRID=4326; POINT(-122.04051441462217 40.76371776358584)
2444,4/25/2020,Siskiyou,California,6093,5,0,yes,yes,SRID=4326; POINT(-122.54037902620112 41.59264458363492)
2445,4/25/2020,Solano,California,6095,204,4,yes,yes,SRID=4326; POINT(-121.932865211764 38.26997789621676)
2446,4/25/2020,Sonoma,California,6097,218,2,yes,yes,SRID=4326; POINT(-122.88742273484095 38.52829211309421)
2447,4/25/2020,Stanislaus,California,6099,286,5,yes,yes,SRID=4326; POINT(-120.99770348560212 37.55914006926297)
2448,4/25/2020,Sutter,California,6101,29,2,yes,yes,SRID=4326; POINT(-121.69484659023334 39.03454902479038)
2449,4/25/2020,Tehama,California,6103,1,0,yes,yes,SRID=4326; POINT(-122.23407364887478 40.125631404996895)
2450,4/25/2020,Tulare,California,6107,491,32,yes,yes,SRID=4326; POINT(-118.80049658423822 36.220167658111336)
2451,4/25/2020,Tuolumne,California,6109,3,0,yes,yes,SRID=4326; POINT(-119.95476801271204 38.0275935431412)
2452,4/25/2020,Ventura,California,6111,476,16,yes,yes,SRID=4326; POINT(-119.0782397063646 34.4715950188429)
2453,4/25/2020,Yolo,California,6113,158,13,yes,yes,SRID=4326; POINT(-121.90158291329168 38.68660977023957)
2454,4/25/2020,Yuba,California,6115,16,1,yes,yes,SRID=4326; POINT(-121.35127598879794 39.26901406033176)
2455,4/26/2020,Alameda,California,6001,1489,52,yes,yes,SRID=4326; POINT(-121.88876733100628 37.64695977543178)
2456,4/26/2020,Alpine,California,6003,1,0,yes,yes,SRID=4326; POINT(-119.820679847404 38.59720402225429)
2457,4/26/2020,Amador,California,6005,7,0,yes,yes,SRID=4326; POINT(-120.65110288122308 38.44639526493973)
2458,4/26/2020,Butte,California,6007,16,0,yes,yes,SRID=4326; POINT(-121.60069437618093 39.66694537197008)
2459,4/26/2020,Calaveras,California,6009,13,0,yes,yes,SRID=4326; POINT(-120.55413604956068 38.20460285077638)
2460,4/26/2020,Colusa,California,6011,3,0,yes,yes,SRID=4326; POINT(-122.2369726471668 39.17748899441087)
2461,4/26/2020,Contra Costa,California,6013,817,25,yes,yes,SRID=4326; POINT(-121.92793912067462 37.91916706936435)
2462,4/26/2020,Del Norte,California,6015,3,0,yes,yes,SRID=4326; POINT(-123.89726198525156 41.7431353515116)
2463,4/26/2020,El Dorado,California,6017,42,0,yes,yes,SRID=4326; POINT(-120.52467458278412 38.7787390108896)
2464,4/26/2020,Fresno,California,6019,458,7,yes,yes,SRID=4326; POINT(-119.6493182510263 36.75820144893008)
2465,4/26/2020,Glenn,California,6021,5,0,yes,yes,SRID=4326; POINT(-122.39201190026616 39.59820691384685)
2466,4/26/2020,Humboldt,California,6023,53,0,yes,yes,SRID=4326; POINT(-123.87564318425044 40.699302544261606)
2467,4/26/2020,Imperial,California,6025,251,7,yes,yes,SRID=4326; POINT(-115.36536275650892 33.03951696565958)
2468,4/26/2020,Inyo,California,6027,19,1,yes,yes,SRID=4326; POINT(-117.41074195586413 36.51111008013726)
2469,4/26/2020,Kern,California,6029,809,4,yes,yes,SRID=4326; POINT(-118.72992737130474 35.34286892433542)
2470,4/26/2020,Kings,California,6031,67,1,yes,yes,SRID=4326; POINT(-119.81555270801204 36.07535520877043)
2471,4/26/2020,Lake,California,6033,6,0,yes,yes,SRID=4326; POINT(-122.75320319530188 39.0996221027628)
2472,4/26/2020,Los Angeles,California,6037,19528,913,yes,yes,SRID=4326; POINT(-118.21704873301874 34.35892236643165)
2473,4/26/2020,Madera,California,6039,41,2,yes,yes,SRID=4326; POINT(-119.76268803888416 37.21798434075275)
2474,4/26/2020,Marin,California,6041,224,12,yes,yes,SRID=4326; POINT(-122.7240857653482 38.07386608280823)
2475,4/26/2020,Mendocino,California,6045,11,0,yes,yes,SRID=4326; POINT(-123.3914860282423 39.44023216901027)
2476,4/26/2020,Merced,California,6047,105,3,yes,yes,SRID=4326; POINT(-120.71766656778016 37.19189531523568)
2477,4/26/2020,Mono,California,6051,24,1,yes,yes,SRID=4326; POINT(-118.88685440927983 37.939092046487765)
2478,4/26/2020,Monterey,California,6053,183,4,yes,yes,SRID=4326; POINT(-121.23921685703726 36.2171642713656)
2479,4/26/2020,Napa,California,6055,61,2,yes,yes,SRID=4326; POINT(-122.33053135359748 38.50649013327487)
2480,4/26/2020,Nevada,California,6057,37,1,yes,yes,SRID=4326; POINT(-120.7684633765121 39.30137434539518)
2481,4/26/2020,Orange,California,6059,2074,39,yes,yes,SRID=4326; POINT(-117.76109087687983 33.70297871221166)
2482,4/26/2020,Placer,California,6061,141,8,yes,yes,SRID=4326; POINT(-120.71756048968044 39.06346827702669)
2483,4/26/2020,Plumas,California,6063,4,0,yes,yes,SRID=4326; POINT(-120.83854990605204 40.00463851482889)
2484,4/26/2020,Riverside,California,6065,3563,118,yes,yes,SRID=4326; POINT(-115.99382744012463 33.743654237895306)
2485,4/26/2020,Sacramento,California,6067,1037,41,yes,yes,SRID=4326; POINT(-121.34425496618957 38.44931827752478)
2486,4/26/2020,San Benito,California,6069,47,2,yes,yes,SRID=4326; POINT(-121.07497457762749 36.60568773898703)
2487,4/26/2020,San Bernardino,California,6071,1751,82,yes,yes,SRID=4326; POINT(-116.17841950729829 34.84138605859262)
2488,4/26/2020,San Diego,California,6073,3043,111,yes,yes,SRID=4326; POINT(-116.73530501380812 33.03414183824337)
2489,4/26/2020,San Francisco,California,6075,1411,22,yes,yes,SRID=4326; POINT(-122.4408832731622 37.75512993109261)
2490,4/26/2020,San Joaquin,California,6077,523,25,yes,yes,SRID=4326; POINT(-121.2714108518384 37.9347613818742)
2491,4/26/2020,San Luis Obispo,California,6079,166,1,yes,yes,SRID=4326; POINT(-120.40452613936814 35.38708615948106)
2492,4/26/2020,San Mateo,California,6081,1019,41,yes,yes,SRID=4326; POINT(-122.32902439490182 37.422897665590426)
2493,4/26/2020,Santa Barbara,California,6083,471,7,yes,yes,SRID=4326; POINT(-120.0222848598336 34.724818361441336)
2494,4/26/2020,Santa Clara,California,6085,2084,101,yes,yes,SRID=4326; POINT(-121.695141328068 37.231794804618175)
2495,4/26/2020,Santa Cruz,California,6087,120,2,yes,yes,SRID=4326; POINT(-122.00184307320414 37.05618382107653)
2496,4/26/2020,Shasta,California,6089,30,4,yes,yes,SRID=4326; POINT(-122.04051441462217 40.76371776358584)
2497,4/26/2020,Siskiyou,California,6093,5,0,yes,yes,SRID=4326; POINT(-122.54037902620112 41.59264458363492)
2498,4/26/2020,Solano,California,6095,204,4,yes,yes,SRID=4326; POINT(-121.932865211764 38.26997789621676)
2499,4/26/2020,Sonoma,California,6097,220,2,yes,yes,SRID=4326; POINT(-122.88742273484095 38.52829211309421)
2500,4/26/2020,Stanislaus,California,6099,294,5,yes,yes,SRID=4326; POINT(-120.99770348560212 37.55914006926297)
2501,4/26/2020,Sutter,California,6101,29,2,yes,yes,SRID=4326; POINT(-121.69484659023334 39.03454902479038)
2502,4/26/2020,Tehama,California,6103,1,0,yes,yes,SRID=4326; POINT(-122.23407364887478 40.125631404996895)
2503,4/26/2020,Tulare,California,6107,504,32,yes,yes,SRID=4326; POINT(-118.80049658423822 36.220167658111336)
2504,4/26/2020,Tuolumne,California,6109,3,0,yes,yes,SRID=4326; POINT(-119.95476801271204 38.0275935431412)
2505,4/26/2020,Ventura,California,6111,497,17,yes,yes,SRID=4326; POINT(-119.0782397063646 34.4715950188429)
2506,4/26/2020,Yolo,California,6113,161,14,yes,yes,SRID=4326; POINT(-121.90158291329168 38.68660977023957)
2507,4/26/2020,Yuba,California,6115,16,1,yes,yes,SRID=4326; POINT(-121.35127598879794 39.26901406033176)
2508,4/27/2020,Alameda,California,6001,1519,56,yes,yes,SRID=4326; POINT(-121.88876733100628 37.64695977543178)
2509,4/27/2020,Alpine,California,6003,1,0,yes,yes,SRID=4326; POINT(-119.820679847404 38.59720402225429)
2510,4/27/2020,Amador,California,6005,7,0,yes,yes,SRID=4326; POINT(-120.65110288122308 38.44639526493973)
2511,4/27/2020,Butte,California,6007,16,0,yes,yes,SRID=4326; POINT(-121.60069437618093 39.66694537197008)
2512,4/27/2020,Calaveras,California,6009,13,0,yes,yes,SRID=4326; POINT(-120.55413604956068 38.20460285077638)
2513,4/27/2020,Colusa,California,6011,3,0,yes,yes,SRID=4326; POINT(-122.2369726471668 39.17748899441087)
2514,4/27/2020,Contra Costa,California,6013,830,25,yes,yes,SRID=4326; POINT(-121.92793912067462 37.91916706936435)
2515,4/27/2020,Del Norte,California,6015,3,0,yes,yes,SRID=4326; POINT(-123.89726198525156 41.7431353515116)
2516,4/27/2020,El Dorado,California,6017,43,0,yes,yes,SRID=4326; POINT(-120.52467458278412 38.7787390108896)
2517,4/27/2020,Fresno,California,6019,498,7,yes,yes,SRID=4326; POINT(-119.6493182510263 36.75820144893008)
2518,4/27/2020,Glenn,California,6021,5,0,yes,yes,SRID=4326; POINT(-122.39201190026616 39.59820691384685)
2519,4/27/2020,Humboldt,California,6023,53,0,yes,yes,SRID=4326; POINT(-123.87564318425044 40.699302544261606)
2520,4/27/2020,Imperial,California,6025,284,7,yes,yes,SRID=4326; POINT(-115.36536275650892 33.03951696565958)
2521,4/27/2020,Inyo,California,6027,20,1,yes,yes,SRID=4326; POINT(-117.41074195586413 36.51111008013726)
2522,4/27/2020,Kern,California,6029,837,5,yes,yes,SRID=4326; POINT(-118.72992737130474 35.34286892433542)
2523,4/27/2020,Kings,California,6031,71,1,yes,yes,SRID=4326; POINT(-119.81555270801204 36.07535520877043)
2524,4/27/2020,Lake,California,6033,6,0,yes,yes,SRID=4326; POINT(-122.75320319530188 39.0996221027628)
2525,4/27/2020,Los Angeles,California,6037,20417,942,yes,yes,SRID=4326; POINT(-118.21704873301874 34.35892236643165)
2526,4/27/2020,Madera,California,6039,44,2,yes,yes,SRID=4326; POINT(-119.76268803888416 37.21798434075275)
2527,4/27/2020,Marin,California,6041,225,12,yes,yes,SRID=4326; POINT(-122.7240857653482 38.07386608280823)
2528,4/27/2020,Mendocino,California,6045,11,0,yes,yes,SRID=4326; POINT(-123.3914860282423 39.44023216901027)
2529,4/27/2020,Merced,California,6047,110,3,yes,yes,SRID=4326; POINT(-120.71766656778016 37.19189531523568)
2530,4/27/2020,Mono,California,6051,26,1,yes,yes,SRID=4326; POINT(-118.88685440927983 37.939092046487765)
2531,4/27/2020,Monterey,California,6053,185,4,yes,yes,SRID=4326; POINT(-121.23921685703726 36.2171642713656)
2532,4/27/2020,Napa,California,6055,65,2,yes,yes,SRID=4326; POINT(-122.33053135359748 38.50649013327487)
2533,4/27/2020,Nevada,California,6057,39,1,yes,yes,SRID=4326; POINT(-120.7684633765121 39.30137434539518)
2534,4/27/2020,Orange,California,6059,2126,40,yes,yes,SRID=4326; POINT(-117.76109087687983 33.70297871221166)
2535,4/27/2020,Placer,California,6061,143,8,yes,yes,SRID=4326; POINT(-120.71756048968044 39.06346827702669)
2536,4/27/2020,Plumas,California,6063,4,0,yes,yes,SRID=4326; POINT(-120.83854990605204 40.00463851482889)
2537,4/27/2020,Riverside,California,6065,3643,141,yes,yes,SRID=4326; POINT(-115.99382744012463 33.743654237895306)
2538,4/27/2020,Sacramento,California,6067,1045,41,yes,yes,SRID=4326; POINT(-121.34425496618957 38.44931827752478)
2539,4/27/2020,San Benito,California,6069,48,2,yes,yes,SRID=4326; POINT(-121.07497457762749 36.60568773898703)
2540,4/27/2020,San Bernardino,California,6071,1772,82,yes,yes,SRID=4326; POINT(-116.17841950729829 34.84138605859262)
2541,4/27/2020,San Diego,California,6073,3141,123,yes,yes,SRID=4326; POINT(-116.73530501380812 33.03414183824337)
2542,4/27/2020,San Francisco,California,6075,1427,23,yes,yes,SRID=4326; POINT(-122.4408832731622 37.75512993109261)
2543,4/27/2020,San Joaquin,California,6077,527,25,yes,yes,SRID=4326; POINT(-121.2714108518384 37.9347613818742)
2544,4/27/2020,San Luis Obispo,California,6079,169,1,yes,yes,SRID=4326; POINT(-120.40452613936814 35.38708615948106)
2545,4/27/2020,San Mateo,California,6081,1080,46,yes,yes,SRID=4326; POINT(-122.32902439490182 37.422897665590426)
2546,4/27/2020,Santa Barbara,California,6083,471,7,yes,yes,SRID=4326; POINT(-120.0222848598336 34.724818361441336)
2547,4/27/2020,Santa Clara,California,6085,2105,104,yes,yes,SRID=4326; POINT(-121.695141328068 37.231794804618175)
2548,4/27/2020,Santa Cruz,California,6087,124,2,yes,yes,SRID=4326; POINT(-122.00184307320414 37.05618382107653)
2549,4/27/2020,Shasta,California,6089,30,4,yes,yes,SRID=4326; POINT(-122.04051441462217 40.76371776358584)
2550,4/27/2020,Siskiyou,California,6093,5,0,yes,yes,SRID=4326; POINT(-122.54037902620112 41.59264458363492)
2551,4/27/2020,Solano,California,6095,231,4,yes,yes,SRID=4326; POINT(-121.932865211764 38.26997789621676)
2552,4/27/2020,Sonoma,California,6097,222,2,yes,yes,SRID=4326; POINT(-122.88742273484095 38.52829211309421)
2553,4/27/2020,Stanislaus,California,6099,312,7,yes,yes,SRID=4326; POINT(-120.99770348560212 37.55914006926297)
2554,4/27/2020,Sutter,California,6101,29,2,yes,yes,SRID=4326; POINT(-121.69484659023334 39.03454902479038)
2555,4/27/2020,Tehama,California,6103,1,1,yes,yes,SRID=4326; POINT(-122.23407364887478 40.125631404996895)
2556,4/27/2020,Tulare,California,6107,532,32,yes,yes,SRID=4326; POINT(-118.80049658423822 36.220167658111336)
2557,4/27/2020,Tuolumne,California,6109,4,0,yes,yes,SRID=4326; POINT(-119.95476801271204 38.0275935431412)
2558,4/27/2020,Ventura,California,6111,509,17,yes,yes,SRID=4326; POINT(-119.0782397063646 34.4715950188429)
2559,4/27/2020,Yolo,California,6113,161,16,yes,yes,SRID=4326; POINT(-121.90158291329168 38.68660977023957)
2560,4/27/2020,Yuba,California,6115,16,1,yes,yes,SRID=4326; POINT(-121.35127598879794 39.26901406033176)
2561,4/28/2020,Alameda,California,6001,1554,59,yes,yes,SRID=4326; POINT(-121.88876733100628 37.64695977543178)
2562,4/28/2020,Alpine,California,6003,1,0,yes,yes,SRID=4326; POINT(-119.820679847404 38.59720402225429)
2563,4/28/2020,Amador,California,6005,7,0,yes,yes,SRID=4326; POINT(-120.65110288122308 38.44639526493973)
2564,4/28/2020,Butte,California,6007,16,0,yes,yes,SRID=4326; POINT(-121.60069437618093 39.66694537197008)
2565,4/28/2020,Calaveras,California,6009,13,0,yes,yes,SRID=4326; POINT(-120.55413604956068 38.20460285077638)
2566,4/28/2020,Colusa,California,6011,3,0,yes,yes,SRID=4326; POINT(-122.2369726471668 39.17748899441087)
2567,4/28/2020,Contra Costa,California,6013,843,25,yes,yes,SRID=4326; POINT(-121.92793912067462 37.91916706936435)
2568,4/28/2020,Del Norte,California,6015,3,0,yes,yes,SRID=4326; POINT(-123.89726198525156 41.7431353515116)
2569,4/28/2020,El Dorado,California,6017,44,0,yes,yes,SRID=4326; POINT(-120.52467458278412 38.7787390108896)
2570,4/28/2020,Fresno,California,6019,521,7,yes,yes,SRID=4326; POINT(-119.6493182510263 36.75820144893008)
2571,4/28/2020,Glenn,California,6021,5,0,yes,yes,SRID=4326; POINT(-122.39201190026616 39.59820691384685)
2572,4/28/2020,Humboldt,California,6023,53,0,yes,yes,SRID=4326; POINT(-123.87564318425044 40.699302544261606)
2573,4/28/2020,Imperial,California,6025,304,8,yes,yes,SRID=4326; POINT(-115.36536275650892 33.03951696565958)
2574,4/28/2020,Inyo,California,6027,20,1,yes,yes,SRID=4326; POINT(-117.41074195586413 36.51111008013726)
2575,4/28/2020,Kern,California,6029,865,5,yes,yes,SRID=4326; POINT(-118.72992737130474 35.34286892433542)
2576,4/28/2020,Kings,California,6031,79,1,yes,yes,SRID=4326; POINT(-119.81555270801204 36.07535520877043)
2577,4/28/2020,Lake,California,6033,6,0,yes,yes,SRID=4326; POINT(-122.75320319530188 39.0996221027628)
2578,4/28/2020,Los Angeles,California,6037,20976,1000,yes,yes,SRID=4326; POINT(-118.21704873301874 34.35892236643165)
2579,4/28/2020,Madera,California,6039,45,2,yes,yes,SRID=4326; POINT(-119.76268803888416 37.21798434075275)
2580,4/28/2020,Marin,California,6041,227,12,yes,yes,SRID=4326; POINT(-122.7240857653482 38.07386608280823)
2581,4/28/2020,Mariposa,California,6043,1,0,yes,yes,SRID=4326; POINT(-119.90543799850435 37.58151324601533)
